"date","store","county","vendor","description","bottle_qty","btl_price","total"
"2014-01-02 00:00:00",4186,"Polk","LUXCO","Juarez Tequila Gold",1,"$9.38","9.38"
"2014-01-02 00:00:00",4190,"Greene","Proximo","Jose Cuervo Especial Reposado Tequila",6,"$15.73","94.38"
"2014-01-02 00:00:00",4214,"Black Hawk","Bacardi U.S.A. Inc.","Cazadores Reposado",3,"$28.01","84.03"
"2014-01-02 00:00:00",4214,"Black Hawk","Brown-Forman Corporation","El Jimador Reposado Tequila",2,"$16.73","33.46"
"2014-01-02 00:00:00",4214,"Black Hawk","Proximo","Jose Cuervo Especial Reposado Square",12,"$8.25","99.00"
"2014-01-02 00:00:00",4214,"Black Hawk","Proximo","Jose Cuervo Especial Silver",3,"$15.73","47.19"
"2014-01-02 00:00:00",4214,"Black Hawk","Proximo","Jose Cuervo Especial Silver",5,"$8.25","41.25"
"2014-01-02 00:00:00",4265,"Black Hawk","The Patron Spirits Company","Patron Tequila Silver Mini",1,"$30.45","30.45"
"2014-01-02 00:00:00",4269,"Cedar","Monsieur Henri Wines Ltd.","Margaritaville Gold Tequila",4,"$11.27","45.08"
"2014-01-02 00:00:00",4301,"Polk","Diageo Americas","Don Julio Blanco Tequila",2,"$39.00","78.00"
"2014-01-02 00:00:00",4301,"Polk","Jim Beam Brands","Hornitos Gold",12,"$19.68","236.16"
"2014-01-02 00:00:00",4320,"Boone","Proximo","Jose Cuervo Especial Silver",12,"$15.73","188.76"
"2014-01-02 00:00:00",4320,"Boone","The Patron Spirits Company","Patron Tequila Silver",1,"$40.50","40.50"
"2014-01-02 00:00:00",4344,"Polk","Proximo","1800 Silver Tequila",1,"$23.19","23.19"
"2014-01-02 00:00:00",4344,"Polk","Proximo","Jose Cuervo Especial Reposado Tequila",1,"$4.49","4.49"
"2014-01-02 00:00:00",4349,"Polk","Diageo Americas","Don Julio Blanco Tequila",3,"$39.00","117.00"
"2014-01-02 00:00:00",4349,"Polk","Diageo Americas","Don Julio Reposado",3,"$42.75","128.25"
"2014-01-02 00:00:00",4349,"Polk","Jim Beam Brands","Hornitos Gold",5,"$19.68","98.40"
"2014-01-02 00:00:00",4349,"Polk","Proximo","1800 Silver Tequila",12,"$23.19","278.28"
"2014-01-02 00:00:00",4349,"Polk","The Patron Spirits Company","Patron Tequila Silver",12,"$40.50","486.00"
"2014-01-02 00:00:00",4380,"Cedar","LUXCO","Juarez Tequila Gold",3,"$9.38","28.14"
"2014-01-02 00:00:00",4406,"Polk","The Patron Spirits Company","Patron Silver Tequila",2,"$21.00","42.00"
"2014-01-02 00:00:00",4478,"Polk","The Patron Spirits Company","Patron Silver Tequila",3,"$21.00","63.00"
"2014-01-02 00:00:00",4478,"Polk","The Patron Spirits Company","Patron Tequila Silver",2,"$40.50","81.00"
"2014-01-02 00:00:00",4481,"Johnson","LUXCO","El Mayor Blanco",6,"$15.00","90.00"
"2014-01-02 00:00:00",4481,"Johnson","Proximo","Jose Cuervo Especial Reposado Tequila Mini",1,"$17.25","17.25"
"2014-01-02 00:00:00",4502,"Black Hawk","Brown-Forman Corporation","El Jimador Reposado Tequila",2,"$16.73","33.46"
"2014-01-02 00:00:00",4502,"Black Hawk","Jim Beam Brands","Sauza Gold",3,"$13.40","40.20"
"2014-01-02 00:00:00",4502,"Black Hawk","Proximo","Jose Cuervo Especial Reposado Square",12,"$8.25","99.00"
"2014-01-02 00:00:00",4502,"Black Hawk","Proximo","Jose Cuervo Especial Silver",2,"$15.73","31.46"
"2014-01-02 00:00:00",4502,"Black Hawk","Sazerac Co. Inc.","Tortilla Gold Tequila",3,"$9.40","28.20"
"2014-01-02 00:00:00",4502,"Black Hawk","The Patron Spirits Company","Patron Silver Tequila",2,"$21.00","42.00"
"2014-01-02 00:00:00",4502,"Black Hawk","The Patron Spirits Company","Patron Tequila Silver Mini",1,"$30.45","30.45"
"2014-01-02 00:00:00",4604,"Jasper","Campari(skyy)","Cabo Wabo Reposado",1,"$31.14","31.14"
"2014-01-02 00:00:00",4604,"Jasper","Jim Beam Brands","Sauza Blanco Silver",1,"$13.40","13.40"
"2014-01-02 00:00:00",4604,"Jasper","LUXCO","Juarez Tequila Silver",2,"$9.38","18.76"
"2014-01-02 00:00:00",4604,"Jasper","Proximo","1800 Reposado Tequila",1,"$23.19","23.19"
"2014-01-02 00:00:00",4604,"Jasper","Proximo","1800 Silver Tequila",1,"$23.19","23.19"
"2014-01-02 00:00:00",4604,"Jasper","The Patron Spirits Company","Patron Tequila Silver",2,"$40.50","81.00"
"2014-01-02 00:00:00",4617,"Polk","Proximo","1800 Anejo Tequila",1,"$29.24","29.24"
"2014-01-02 00:00:00",4617,"Polk","Proximo","Jose Cuervo Especial Reposado Tequila",3,"$18.74","56.22"
"2014-01-02 00:00:00",4617,"Polk","Proximo","Jose Cuervo Especial Reposado Tequila",12,"$15.73","188.76"
"2014-01-02 00:00:00",4622,"Polk","The Patron Spirits Company","Patron Silver Tequila",12,"$21.00","252.00"
"2014-01-02 00:00:00",4642,"Black Hawk","The Patron Spirits Company","Patron Tequila Silver Mini",2,"$30.45","60.90"
"2014-01-02 00:00:00",4648,"Black Hawk","Pernod Ricard USA/Austin Nichols","Avion Silver",12,"$14.99","179.88"
"2014-01-02 00:00:00",4648,"Black Hawk","The Patron Spirits Company","Patron Silver Tequila",12,"$21.00","252.00"
"2014-01-02 00:00:00",4653,"Greene","Proximo","Jose Cuervo Especial Reposado Tequila",2,"$15.73","31.46"
"2014-01-02 00:00:00",4684,"Warren","Proximo","Jose Cuervo Especial Reposado Tequila",4,"$4.49","17.96"
"2014-01-02 00:00:00",4728,"Johnson","Proximo","Jose Cuervo Especial Reposado Tequila",12,"$15.73","188.76"
"2014-01-02 00:00:00",4729,"Crawford","Proximo","Jose Cuervo Especial Reposado Flask",4,"$8.25","33.00"
