"item_no","item_description","vendor_name","proof","case_cost","pack"
902547,"Partida Anejo Tequila","Partida Tequila","80","192.57",6
902570,"Siete Leguas Reposado","Monsieur Henri Wines Ltd.","80","213.00",6
902576,"Pueblo Viejo Anejo Tequila","Monsieur Henri Wines Ltd.","70","169.00",12
902584,"Sauza Cien Anos Blanco Tequila","Jim Beam Brands","80","133.81",24
902586,"Pueblo Viejo Blanco","Monsieur Henri Wines Ltd.","70","120.00",12
902587,"Partida Blanco Tequila","Partida Tequila","80","159.53",6
902611,"Voodoo Tiki Reposado Tequila","Admiral Imports","80","181.40",6
902652,"Herradura Anejo 3pak Tequila (dno)","Brown-forman Corporation","80","81.07",3
902667,"Corzo Reposado Tequila","Bacardi U.s.a. Inc.","80","155.84",6
902669,"267 Tequila Orange","Boz Spirits","42","72.00",6
902698,"Herradura Silver Tequila 3-Pak","Brown-forman Corporation","80","63.38",3
902710,"Cabrito Reposado Tequila(dno)","Great Lakes Liquor Company","80","241.35",12
902714,"Jose Cuervo Anejo","Proximo","80","121.57",6
902750,"Margaritaville Oro","Monsieur Henri Wines Ltd.","80","94.00",12
902761,"Casa Noble Anejo","Constellation Wine Company Inc.","80","150.00",6
902791,"Patron Gran Platinum","The Patron Spirits Company","80","320.00",3
902805,"Voodoo Tiki Tequila Platinum","Admiral Imports","80","163.50",6
902828,"Sauza Tres Generaciones Plata","Jim Beam Brands","80","110.22",6
902839,"Tezon Anejo Tequila DNO","Pernod Ricard Usa/austin Nichols","80","179.96",6
902850,"Tezon Tequila Blanco DNO","Pernod Ricard Usa/austin Nichols","80","156.52",6
902863,"Casco Viejo Gold Tequila","Sans Wine And Spirits Co","80","120.00",12
902868,"El Jimador Blanco Tequila","Brown-forman Corporation","80","127.57",12
902877,"Corzo Silver Tequila","Bacardi U.s.a. Inc.","80","155.84",6
902889,"Sauza Cien Anos Verde","Jim Beam Brands","80","150.56",12
902901,"El Jimador Reposado Tequila","Brown-forman Corporation","80","184.30",12
902909,"Voodoo Tiki Anejo Tequila","Admiral Imports","80","199.15",6
902910,"Herradura Seleccion Suprema (dno)","Brown-forman Corporation","80","179.48",1
902930,"Cuervo 1800 Anejo","Proximo","80","127.96",6
902933,"El Tesoro Gold (reposado) Tequila","Jim Beam Brands","80","132.24",6
902942,"Espolon Reposado Tequila","Shaw Ross International Importers Ll","80","153.20",6
902975,"Corzo Anejo Tequila","Bacardi U.s.a. Inc.","80","185.84",6
902989,"Riazul Anejo Tequila","Jomada Imports Llc.","80","211.00",6
902990,"Milagro Romance(DNO)","William Grant And Sons Inc.","80","255.00",4
902991,"Riazul Reposado Tequila","Jomada Imports Llc.","80","195.50",6
903029,"Sauza Blanco Tequila","Jim Beam Brands","80","84.07",24
903046,"Porfidio Sing Barrel Anejo Green Cactus","Five Star Wine & Spirits","79","372.84",6
903050,"Milagro Anejo Tequila","William Grant And Sons Inc.","80","120.86",6
903081,"Porfidio Sing Cane Sb Anejo Green Palm","Five Star Wine & Spirits","90","192.84",6
903084,"El Conquistador Blanco Tequila DNO","Heaven Hill Distilleries Inc.","80","100.55",6
903086,"El Conquistador Reposado Tequila DNO","Heaven Hill Distilleries Inc.","80","118.55",6
903088,"El Conquistador Anejo Tequila","Heaven Hill Distilleries Inc.","80","133.55",6
903089,"Gran Centenario Anejo","Proximo","80","183.84",6
903107,"Porfidio Pure Cane Plata Blue Palm","Five Star Wine & Spirits","79","90.60",6
903114,"Porfidio 100% Agave Plata Blue Cactus","Five Star Wine & Spirits","79","198.66",6
903136,"Cabo Uno Reserva","Campari(skyy)","80","225.00",3
903139,"Calende Tequila Anejo","U.s. Distilled Prod. Co","80","85.49",6
903155,"Patron Gran Burdeos","The Patron Spirits Company","80","735.00",3
903164,"Lapis Anejo Tequila","Shaw Ross International Importers Ll","80","223.84",6
903176,"Corralejo Triple Distilled Reposado","Wilson Daniels Ltd.","80","153.00",6
903209,"Pueblo Viejo Reposado","Monsieur Henri Wines Ltd.","80","132.00",12
903211,"Herradura Blanco Silver 80 Prf Tequila","Brown-forman Corporation","80","125.62",6
903228,"Don Julio Blanco","Diageo Americas","80","146.97",6
903233,"El Toro Reposado Tequila","Sazerac North America","80","84.26",12
903237,"Tequila Solo Anejo","Vital Beverages","80","168.00",6
903238,"El Jimador Reposado(don't Use Code)","Brown-forman Corporation","80","165.57",24
903244,"Casadores Reposado Tequila","Bacardi U.s.a. Inc.","80","295.29",24
903274,"El Toro Silver Triple Distilled","Sazerac North America","80","85.10",12
903290,"Corralejo Reposado Tequila","Wilson Daniels Ltd.","80","153.37",6
903303,"Porfidio Tripl-Distilled Plata Minis","Five Star Wine & Spirits","79","747.00",15
903310,"Corralejo Anejo Tequila","Wilson Daniels Ltd.","80","120.00",6
903315,"Herradura Reposado Hispanic Bottle","Sazerac Co. Inc.","80","276.80",12
903316,"Cabo Wabo Tequila Minis","Campari(skyy)","80","141.25",5
903319,"Margaritaville Oro Mini","Monsieur Henri Wines Ltd.","80","106.08",10
903330,"Chinaco Reposado Tequila","Anchor Distilling (preiss Imports)","80","191.00",6
903369,"Hussong's Reposado Tequila","Mccormick Distilling Company","80","90.02",6
903377,"Sauza Hacienda Tequila(dno)","Jim Beam Brands","80","130.96",12
903380,"Corazon Blanco Tequila","Monsieur Henri Wines Ltd.","80","89.56",6
903381,"Casa Noble Reposado","Constellation Wine Company Inc.","80","176.00",6
903385,"Gran Centenario Reposado","Proximo","80","336.86",12
903422,"Cabo Wabo Anejo","Campari(skyy)","80","140.16",6
903441,"Sauza Cien Anos Reposado Tequila","Jim Beam Brands","80","144.61",24
903447,"Chinaco Blanco Artisan Tequila","Anchor Distilling (preiss Imports)","80","116.63",6
903450,"Frida Kahlo Blanco Tequila","Dorado Pizzorni & Sons Llc","80","166.35",6
903470,"Don Julio Reposado","Diageo Americas","80","147.81",6
903477,"Sol Dios Platinum Tequila","Aig Wine & Spirits Dba Mezzaluna Sp","80","120.00",6
903488,"Sol Dios Anejo Tequila","Aig Wine & Spirits Dba Mezzaluna Sp","80","140.00",6
903489,"Sauza Cien Anos Rep Tequila","Jim Beam Brands","80","121.50",12
903517,"Riazul Silver Tequila","Jomada Imports Llc.","80","179.00",6
903526,"Don Eduardo Anejo Tequila","Brown-forman Corporation","80","184.16",6
903599,"Lapis Anejo Tequila","Shaw Ross International Importers Ll","80","148.55",6
903643,"Tezon Reposado Tequila DNO","Pernod Ricard Usa/austin Nichols","80","161.97",6
903651,"Frida Kahlo Reposado Tequila","Dorado Pizzorni & Sons Llc","80","213.60",6
903667,"San Matias Gran Reserva Tequila","Monsieur Henri Wines Ltd.","80","160.00",6
903675,"Corazon De Agave Anejo Tequila","Monsieur Henri Wines Ltd.","80","111.96",6
903689,"Cabo Wabo Blanco Tequila","Campari(skyy)","80","145.92",6
903697,"Milagro Tequila Sbr Reposado","William Grant And Sons Inc.","80","234.50",6
903701,"Scorpion Mezcal Silver","Park Street Imports- Caballeros","80","248.50",12
